PY,SINK,1,0,0,1676816564941,1676816565920,979,502,45|904,0,bloat
PY,SINK,2,1,1,1676816564987,1676816565989,1002,502,44|859,0,bloat
PY,SINK,3,2,2,1676816564988,1676816565990,1002,502,65|858,0,bloat
PY,SINK,4,3,3,1676816564988,1676816565990,1002,502,67|858,0,bloat
PY,SINK,5,4,4,1676816564988,1676816565990,1002,502,66|858,0,bloat
PY,SINK,6,5,5,1676816564989,1676816565990,1001,502,67|858,0,bloat
PY,SINK,7,6,6,1676816564989,1676816565991,1002,502,67|858,0,bloat
PY,SINK,8,7,7,1676816564989,1676816565991,1002,502,67|858,0,bloat
PY,SINK,9,8,8,1676816564989,1676816565991,1002,502,70|858,0,bloat
PY,SINK,10,9,9,1676816564989,1676816565991,1002,502,72|858,0,bloat
PY,SINK,11,10,10,1676816564989,1676816565991,1002,502,72|859,0,bloat
PY,SINK,12,11,11,1676816564990,1676816565992,1002,502,72|858,0,bloat
PY,SINK,13,12,12,1676816564990,1676816565992,1002,502,72|858,0,bloat
PY,SINK,14,13,13,1676816564990,1676816565992,1002,502,72|858,0,bloat
PY,SINK,15,14,14,1676816564990,1676816565992,1002,502,69|858,0,bloat
PY,SINK,16,15,15,1676816564990,1676816565992,1002,502,69|859,0,bloat
PY,SINK,17,16,16,1676816564991,1676816565992,1001,502,69|858,0,bloat
PY,SINK,18,17,17,1676816564992,1676816565993,1001,502,69|857,0,bloat
PY,SINK,19,18,18,1676816564992,1676816565993,1001,502,68|857,0,bloat
PY,SINK,20,19,19,1676816564992,1676816565993,1001,502,68|858,0,bloat
PY,SINK,21,20,20,1676816564992,1676816565993,1001,502,70|858,0,bloat
PY,SINK,22,21,21,1676816564992,1676816565993,1001,502,71|858,0,bloat
PY,SINK,23,22,22,1676816564992,1676816565993,1001,502,71|859,0,bloat
PY,SINK,24,23,23,1676816564992,1676816565994,1002,502,71|859,0,bloat
PY,SINK,25,24,24,1676816564993,1676816566030,1037,502,72|858,0,bloat
PY,SINK,26,25,25,1676816564993,1676816566031,1038,502,72|859,0,bloat
PY,SINK,27,26,26,1676816564993,1676816566031,1038,502,73|859,0,bloat
PY,SINK,28,27,27,1676816564993,1676816566032,1039,502,74|860,0,bloat
PY,SINK,29,28,28,1676816564993,1676816566033,1040,502,75|861,0,bloat
PY,SINK,30,29,29,1676816564993,1676816566033,1040,502,82|862,0,bloat
PY,SINK,31,30,30,1676816564994,1676816566033,1039,502,82|862,0,bloat
PY,SINK,32,31,31,1676816564994,1676816566033,1039,502,82|863,0,bloat
PY,SINK,33,32,32,1676816564994,1676816566033,1039,502,79|863,0,bloat
PY,SINK,34,33,33,1676816564994,1676816566033,1039,502,80|863,0,bloat
PY,SINK,35,34,34,1676816564994,1676816566033,1039,502,81|863,0,bloat
PY,SINK,36,35,35,1676816564995,1676816566035,1040,502,81|863,0,bloat
PY,SINK,37,36,36,1676816564995,1676816566036,1041,502,81|863,0,bloat
PY,SINK,38,37,37,1676816564995,1676816566037,1042,502,81|863,0,bloat
PY,SINK,39,38,38,1676816564995,1676816566037,1042,502,82|863,0,bloat
PY,SINK,40,39,39,1676816564995,1676816566037,1042,502,82|863,0,bloat
PY,SINK,41,40,40,1676816564995,1676816566037,1042,502,84|864,0,bloat
PY,SINK,42,41,41,1676816564995,1676816566037,1042,502,84|864,0,bloat
PY,SINK,43,42,42,1676816564996,1676816566037,1041,502,86|864,0,bloat
PY,SINK,44,43,43,1676816564996,1676816566037,1041,502,86|864,0,bloat
PY,SINK,45,44,44,1676816564996,1676816566037,1041,502,85|865,0,bloat
PY,SINK,46,45,45,1676816564996,1676816566037,1041,502,86|865,0,bloat
PY,SINK,47,46,46,1676816564996,1676816566037,1041,502,84|865,0,bloat
PY,SINK,48,47,47,1676816564996,1676816566038,1042,502,84|865,0,bloat
PY,SINK,49,48,48,1676816564996,1676816566038,1042,502,85|866,0,bloat
PY,SINK,50,49,49,1676816564996,1676816566038,1042,502,85|866,0,bloat
PY,SINK,51,50,50,1676816564996,1676816566038,1042,502,81|866,0,bloat
PY,SINK,52,51,51,1676816564996,1676816566038,1042,502,82|866,0,bloat
PY,SINK,53,52,52,1676816564996,1676816566038,1042,502,81|867,0,bloat
PY,SINK,54,53,53,1676816564997,1676816566038,1041,502,84|866,0,bloat
PY,SINK,55,54,54,1676816564997,1676816566038,1041,502,87|866,0,bloat
PY,SINK,56,55,55,1676816564997,1676816566038,1041,502,87|867,0,bloat
PY,SINK,57,56,56,1676816564997,1676816566038,1041,502,88|867,0,bloat
PY,SINK,58,57,57,1676816564997,1676816566038,1041,502,88|867,0,bloat
PY,SINK,59,58,58,1676816564997,1676816566039,1042,502,92|868,0,bloat
PY,SINK,60,59,59,1676816564997,1676816566039,1042,502,93|868,0,bloat
PY,SINK,61,60,60,1676816564997,1676816566039,1042,502,92|868,0,bloat
PY,SINK,62,61,61,1676816564998,1676816566039,1041,502,94|867,0,bloat
PY,SINK,63,62,62,1676816564998,1676816566039,1041,502,94|868,0,bloat
PY,SINK,64,63,63,1676816564998,1676816566039,1041,502,95|868,0,bloat
PY,SINK,65,64,64,1676816564998,1676816566039,1041,502,96|868,0,bloat
PY,SINK,66,65,65,1676816564998,1676816566039,1041,502,97|868,0,bloat
PY,SINK,67,66,66,1676816564998,1676816566040,1042,502,97|868,0,bloat
PY,SINK,68,67,67,1676816564999,1676816566040,1041,502,97|868,0,bloat
PY,SINK,69,68,68,1676816564999,1676816566040,1041,502,97|868,0,bloat
PY,SINK,70,69,69,1676816564999,1676816566040,1041,502,96|868,0,bloat
