PY,SINK,1,0,0,1676816673025,1676816673932,907,502,84|806,0,bloat
PY,SINK,2,1,1,1676816673029,1676816673991,962,502,84|803,0,bloat
PY,SINK,3,2,2,1676816673033,1676816673991,958,502,85|799,0,bloat
PY,SINK,4,3,3,1676816673033,1676816673992,959,502,85|799,0,bloat
PY,SINK,5,4,4,1676816673033,1676816673992,959,502,85|800,0,bloat
PY,SINK,6,5,5,1676816673033,1676816673993,960,502,84|800,0,bloat
PY,SINK,7,6,6,1676816673033,1676816673993,960,502,84|800,0,bloat
PY,SINK,8,7,7,1676816673033,1676816673994,961,502,84|801,0,bloat
PY,SINK,9,8,8,1676816673033,1676816673994,961,502,84|801,0,bloat
PY,SINK,10,9,9,1676816673035,1676816673995,960,502,84|799,0,bloat
PY,SINK,11,10,10,1676816673035,1676816673995,960,502,85|799,0,bloat
PY,SINK,12,11,11,1676816673036,1676816673995,959,502,85|798,0,bloat
PY,SINK,13,12,12,1676816673037,1676816673995,958,502,87|798,0,bloat
PY,SINK,14,13,13,1676816673039,1676816673996,957,502,88|796,0,bloat
PY,SINK,15,14,14,1676816673039,1676816673996,957,502,81|796,0,bloat
PY,SINK,16,15,15,1676816673040,1676816673996,956,502,81|795,0,bloat
PY,SINK,17,16,16,1676816673041,1676816673996,955,502,81|794,0,bloat
PY,SINK,18,17,17,1676816673043,1676816673997,954,502,80|793,0,bloat
PY,SINK,19,18,18,1676816673043,1676816673998,955,502,81|793,0,bloat
PY,SINK,20,19,19,1676816673044,1676816673998,954,502,81|792,0,bloat
PY,SINK,21,20,20,1676816673046,1676816673998,952,502,88|793,0,bloat
PY,SINK,22,21,21,1676816673046,1676816673999,953,502,89|794,0,bloat
PY,SINK,23,22,22,1676816673047,1676816673999,952,502,89|794,0,bloat
PY,SINK,24,23,23,1676816673048,1676816673999,951,502,91|794,0,bloat
PY,SINK,25,24,24,1676816673051,1676816674000,949,502,92|792,0,bloat
PY,SINK,26,25,25,1676816673051,1676816674000,949,502,94|792,0,bloat
PY,SINK,27,26,26,1676816673051,1676816674000,949,502,95|793,0,bloat
PY,SINK,28,27,27,1676816673052,1676816674000,948,502,95|792,0,bloat
PY,SINK,29,28,28,1676816673054,1676816674000,946,502,95|792,0,bloat
PY,SINK,30,29,29,1676816673054,1676816674001,947,502,95|793,0,bloat
PY,SINK,31,30,30,1676816673055,1676816674001,946,502,94|793,0,bloat
