1676816742981	31711,0,69165056	31741,0,65818624	31760,0,66330624	31779,0,66293760	31798,0,70021120	31817,0,69517312
1676816743986	31711,99.00990099009901,121663488	31741,93.06930693069307,121556992	31760,110.8910891089109,116195328	31779,94.05940594059405,114511872	31798,105.94059405940595,118259712	31817,77.22772277227723,113979392
1676816744989	31711,17,137248768	31741,18,134746112	31760,0,116195328	31779,6,118734848	31798,22,125333504	31817,35,124071936
1676816745991	31711,2.9702970297029703,137252864	31741,0,134746112	31760,0,116195328	31779,0.9900990099009901,118734848	31798,0,125333504	31817,0,124071936
1676816746993	31711,1,139534336	31741,2,134754304	31760,8,131903488	31779,0,118779904	31798,0,125333504	31817,0,124071936
1676816747996	31711,3,142168064	31741,1,137125888	31760,5,134098944	31779,12,136888320	31798,1,125333504	31817,0,124071936
1676816748998	31711,4,142323712	31741,2,137302016	31760,61,138911744	31779,3,137834496	31798,0,125333504	31817,0,124071936
1676816750002	31711,0.9900990099009901,142589952	31741,0.9900990099009901,137842688	31760,0,139714560	31779,1.9801980198019802,139964416	31798,7.920792079207921,141307904	31817,3.9603960396039604,124493824
1676816751003	31711,1,142589952	31741,2,138121216	31760,3,139714560	31779,1,139964416	31798,6,143921152	31817,7.000000000000001,139857920
1676816752003	31711,1,142589952	31741,0,140218368	31760,2,139980800	31779,1,139964416	31798,91,148541440	31817,3,142745600
1676816753005	31711,114.99999999999999,147034112	31741,1,140218368	31760,0,139980800	31779,0,139964416	31798,1,148541440	31817,2,143020032
1676816754007	31711,14.000000000000002,152522752	31741,0,140218368	31760,1,139980800	31779,1,139964416	31798,0,148541440	31817,0,143020032
1676816755010	31711,114.99999999999999,187981824	31741,78,151638016	31760,73,151879680	31779,118,155889664	31798,120,175976448	31817,112.00000000000001,154734592
1676816756013	31711,162.3762376237624,255578112	31741,91.0891089108911,164708352	31760,10.891089108910892,153145344	31779,85.14851485148515,156729344	31798,242.57425742574256,240001024	31817,181.1881188118812,197210112
1676816757028	31711,175.24752475247524,259915776	31741,34.65346534653465,179470336	31760,126.73267326732673,198242304	31779,94.05940594059405,175099904	31798,90.0990099009901,261951488	31817,115.84158415841583,236687360
1676816758033	31711,148.5148514851485,259919872	31741,76.23762376237624,188665856	31760,174.25742574257427,206286848	31779,70.29702970297029,175726592	31798,189.1089108910891,268238848	31817,112.87128712871286,237031424
1676816759035	31711,261,306544640	31741,33,205570048	31760,145,216207360	31779,55.00000000000001,194600960	31798,100,268509184	31817,123,240001024
1676816760040	31711,289,320667648	31741,36,220512256	31760,119,241569792	31779,60,219086848	31798,103,268656640	31817,192,269742080
1676816761043	31711,295.049504950495,378830848	31741,52.475247524752476,238706688	31760,88.11881188118812,242249728	31779,110.8910891089109,244924416	31798,148.5148514851485,274870272	31817,96.03960396039604,272187392
1676816762046	31711,284,393039872	31741,8,238903296	31760,0,0	31779,1,244973568	31798,65,277803008	31817,18,272535552
1676816763050	31711,256,396025856	31741,51,240254976	31760,0,0	31779,1,244973568	31798,159,284561408	31817,121,272805888
1676816764052	31711,185.14851485148515,396296192	31741,123.76237623762376,258854912	31760,0,0	31779,0.9900990099009901,244973568	31798,264.3564356435644,286302208	31817,112.87128712871286,272805888
1676816765056	31711,167,471654400	31741,229,292646912	31760,0,0	31779,53,245047296	31798,164,287215616	31817,89,272805888
1676816766058	31711,178,471654400	31741,10,293023744	31760,0,0	31779,88,261267456	31798,277,300998656	31817,44,272805888
1676816767061	31711,188.1188118811881,471654400	31741,65.34653465346535,293023744	31760,0,0	31779,161.3861386138614,275349504	31798,162.3762376237624,302714880	31817,50.495049504950494,272805888
1676816768063	31711,150,471740416	31741,106,293023744	31760,0,0	31779,61,275636224	31798,200,302792704	31817,137,288215040
1676816769065	31711,18,471740416	31741,5,293294080	31760,0,0	31779,35,275705856	31798,36,303292416	31817,35,293892096
1676816770066	31711,80,472453120	31741,37,293384192	31760,0,0	31779,25,275849216	31798,34,303378432	31817,10,294023168
1676816771068	31711,2,472453120	31741,69,316133376	31760,0,0	31779,0,0	31798,106,303513600	31817,109.00000000000001,296800256
1676816772074	31711,77.22772277227723,473108480	31741,6.9306930693069315,316133376	31760,0,0	31779,0,0	31798,109.9009900990099,303542272	31817,64.35643564356435,299024384
1676816773077	31711,183,473378816	31741,12,316133376	31760,0,0	31779,0,0	31798,177,389328896	31817,96,299909120
1676816774079	31711,123,473378816	31741,10,316133376	31760,0,0	31779,0,0	31798,80,389328896	31817,43,299909120
1676816775080	31711,1.9801980198019802,473378816	31741,5.9405940594059405,316133376	31760,0,0	31779,0,0	31798,13.861386138613863,389451776	31817,6.9306930693069315,299909120
1676816776082	31711,33,473378816	31741,3,316133376	31760,0,0	31779,0,0	31798,17,389451776	31817,14.000000000000002,299909120
