1676841935867	9374,0,69038080	9393,0,66506752	9412,0,68755456	9431,0,69296128	9449,0,66056192	9486,0,69615616
1676841936872	9374,46.53465346534654,130859008	9393,53.46534653465347,136101888	9412,64.35643564356435,125419520	9431,59.4059405940594,125140992	9449,61.386138613861384,124657664	9486,49.504950495049506,123912192
1676841937875	9374,3,132960256	9393,0,136101888	9412,0,125419520	9431,0,125140992	9449,0,124657664	9486,0,123912192
1676841938879	9374,3,133238784	9393,1,136110080	9412,8,141131776	9431,1,125140992	9449,1,124657664	9486,0,123912192
1676841939884	9374,5.9405940594059405,135868416	9393,0.9900990099009901,136384512	9412,6.9306930693069315,143294464	9431,3.9603960396039604,140771328	9449,0,124657664	9486,0,123912192
1676841940885	9374,3,135872512	9393,1,136384512	9412,14.000000000000002,148459520	9431,5,141320192	9449,0,124657664	9486,1,123912192
1676841941887	9374,11,140447744	9393,3,139350016	9412,3,149041152	9431,3,143896576	9449,4,127684608	9486,1,123936768
1676841942889	9374,2,140447744	9393,1,139350016	9412,2,149090304	9431,2,144175104	9449,8,143142912	9486,0,123936768
1676841943891	9374,0.9900990099009901,140447744	9393,0.9900990099009901,139628544	9412,1.9801980198019802,149090304	9431,0.9900990099009901,144175104	9449,1.9801980198019802,143478784	9486,11.881188118811881,140509184
1676841944894	9374,0,140447744	9393,1,139894784	9412,1,149090304	9431,0,144175104	9449,8,147673088	9486,2,142606336
1676841945898	9374,8,148193280	9393,0,139894784	9412,1,149090304	9431,1,144175104	9449,1,147673088	9486,2,142622720
1676841946900	9374,58.415841584158414,153509888	9393,0.9900990099009901,139894784	9412,49.504950495049506,152674304	9431,24.752475247524753,149319680	9449,0,147673088	9486,1.9801980198019802,142622720
1676841947903	9374,140,239661056	9393,150,161640448	9412,59,159453184	9431,52,152776704	9449,259,219639808	9486,241,197332992
1676841948908	9374,175,253349888	9393,75,189554688	9412,227.99999999999997,227385344	9431,23,154656768	9449,100,263344128	9486,286,262410240
1676841949910	9374,192.07920792079207,263966720	9393,58.415841584158414,209113088	9412,46.53465346534654,242479104	9431,208.91089108910893,258658304	9449,182.1782178217822,288849920	9486,60.396039603960396,272855040
1676841950913	9374,241,321736704	9393,37,209457152	9412,55.00000000000001,246722560	9431,33,259194880	9449,179,291426304	9486,162,275349504
1676841951917	9374,261,350474240	9393,16,209457152	9412,285,267493376	9431,49,259792896	9449,90,295333888	9486,179,275693568
1676841952920	9374,207.92079207920793,384929792	9393,104.95049504950495,227397632	9412,64.35643564356435,279928832	9431,122.77227722772277,262565888	9449,118.8118811881188,295673856	9486,63.366336633663366,279207936
1676841953921	9374,227.99999999999997,385024000	9393,181,253759488	9412,202.99999999999997,282828800	9431,15,263069696	9449,20,295673856	9486,130,285212672
1676841954924	9374,193,385286144	9393,82,258359296	9412,6,282828800	9431,176,286015488	9449,180,295739392	9486,46,285212672
1676841955929	9374,157,385482752	9393,72,260689920	9412,19,282906624	9431,5,286089216	9449,161,301207552	9486,145,287916032
1676841956931	9374,156.43564356435644,385556480	9393,92.07920792079209,260964352	9412,203.96039603960395,285609984	9431,0.9900990099009901,286089216	9449,40.5940594059406,302780416	9486,230.69306930693068,303390720
1676841957941	9374,154,385556480	9393,10,260964352	9412,13,285630464	9431,74,286171136	9449,153,302780416	9486,31,339042304
1676841958945	9374,167.32673267326732,385556480	9393,7.920792079207921,260964352	9412,8.91089108910891,285745152	9431,99.00990099009901,286441472	9449,247.5247524752475,316108800	9486,8.91089108910891,339042304
1676841959948	9374,164,385556480	9393,14.000000000000002,279838720	9412,196,290881536	9431,56.99999999999999,289685504	9449,56.99999999999999,317399040	9486,125,339521536
1676841960952	9374,156.43564356435644,385556480	9393,13.861386138613863,294518784	9412,5.9405940594059405,290881536	9431,152.4752475247525,290000896	9449,124.75247524752476,317489152	9486,12.871287128712872,339521536
1676841961954	9374,171,385634304	9393,20,294608896	9412,143,291692544	9431,134,290123776	9449,20,317489152	9486,10,339521536
1676841962956	9374,159,385703936	9393,10,294608896	9412,220.00000000000003,297803776	9431,8,290136064	9449,16,317550592	9486,81,339652608
1676841963958	9374,165,385703936	9393,7.000000000000001,294608896	9412,122,321097728	9431,156,306618368	9449,101,317550592	9486,23,339652608
1676841964960	9374,150.4950495049505,385773568	9393,11.881188118811881,294608896	9412,267.3267326732673,347308032	9431,77.22772277227723,314351616	9449,23.762376237623762,317550592	9486,82.17821782178217,339685376
1676841965961	9374,160,424767488	9393,8,294608896	9412,3,347389952	9431,267,321286144	9449,128,317550592	9486,11,339746816
1676841966963	9374,164,446726144	9393,13,294608896	9412,131,347578368	9431,4,321372160	9449,20,317644800	9486,104,339746816
1676841967965	9374,182,446726144	9393,8,294608896	9412,7.000000000000001,347578368	9431,79,321482752	9449,150,317644800	9486,14.000000000000002,339746816
1676841968968	9374,160,446849024	9393,9,294703104	9412,2,347578368	9431,76,321617920	9449,133,318132224	9486,5,339746816
1676841969969	9374,196,446849024	9393,10,294703104	9412,114.99999999999999,347578368	9431,17,321617920	9449,39,318132224	9486,78,339820544
1676841970972	9374,171.2871287128713,520806400	9393,12.871287128712872,294703104	9412,21.782178217821784,347578368	9431,7.920792079207921,321617920	9449,102.97029702970298,318193664	9486,139.60396039603958,356311040
1676841971974	9374,182,521162752	9393,9,294703104	9412,8,347578368	9431,74,321617920	9449,107,318291968	9486,16,356581376
1676841972980	9374,174,521162752	9393,10,294703104	9412,120,347652096	9431,22,321654784	9449,5,318291968	9486,141,358555648
1676841973983	9374,139.60396039603958,521162752	9393,14.85148514851485,294703104	9412,23.762376237623762,347824128	9431,5.9405940594059405,321769472	9449,68.31683168316832,318365696	9486,89.10891089108911,358555648
1676841974985	9374,151,521842688	9393,5,294703104	9412,123,347824128	9431,7.000000000000001,321855488	9449,0,0	9486,48,360361984
1676841975987	9374,152,521842688	9393,8,294703104	9412,113.99999999999999,347897856	9431,9,321855488	9449,0,0	9486,83,360361984
1676841976988	9374,157,521842688	9393,12,294703104	9412,81,347897856	9431,112.00000000000001,344563712	9449,0,0	9486,19,360361984
1676841977991	9374,155.44554455445544,521908224	9393,8.91089108910891,294703104	9412,110.8910891089109,347897856	9431,20.792079207920793,345645056	9449,0,0	9486,64.35643564356435,360361984
1676841978993	9374,206.99999999999997,528125952	9393,7.000000000000001,294703104	9412,121,348172288	9431,12,345645056	9449,0,0	9486,68,360361984
1676841979994	9374,147,528125952	9393,5,294703104	9412,108,348258304	9431,0,345645056	9449,0,0	9486,98,360837120
1676841980996	9374,147,528125952	9393,10,294776832	9412,112.00000000000001,348258304	9431,6,345645056	9449,0,0	9486,99,360837120
1676841981998	9374,144,528216064	9393,6,294776832	9412,109.00000000000001,348377088	9431,6,345645056	9449,0,0	9486,118,361013248
1676841983000	9374,144.55445544554456,528216064	9393,8.91089108910891,294776832	9412,85.14851485148515,396873728	9431,69.3069306930693,345714688	9449,0,0	9486,8.91089108910891,361070592
1676841984001	9374,144,528216064	9393,7.000000000000001,294776832	9412,94,396873728	9431,11,345714688	9449,0,0	9486,98,361779200
1676841985003	9374,143,528216064	9393,4,294776832	9412,114.99999999999999,396931072	9431,0,345714688	9449,0,0	9486,112.99999999999999,362586112
1676841986005	9374,145,528216064	9393,8,294776832	9412,81,396931072	9431,115.99999999999999,345985024	9449,0,0	9486,10,362586112
1676841987007	9374,145,528216064	9393,6,294776832	9412,99,396931072	9431,13,345985024	9449,0,0	9486,67,362586112
1676841988010	9374,145.54455445544554,528273408	9393,11.881188118811881,294858752	9412,94.05940594059405,396988416	9431,67.32673267326733,346050560	9449,0,0	9486,19.801980198019802,362725376
1676841989013	9374,146,528273408	9393,7.000000000000001,294858752	9412,113.99999999999999,398614528	9431,8,346050560	9449,0,0	9486,60,362725376
1676841990015	9374,143,528273408	9393,6,294858752	9412,103,398614528	9431,0,346050560	9449,0,0	9486,92,362766336
1676841991016	9374,143,528273408	9393,4,294858752	9412,146,406548480	9431,1,346050560	9449,0,0	9486,85,362864640
1676841992018	9374,146,528273408	9393,7.000000000000001,294858752	9412,82,406548480	9431,61,346050560	9449,0,0	9486,7.000000000000001,362864640
1676841993020	9374,143.56435643564356,528273408	9393,13.861386138613863,294858752	9412,97.02970297029702,406646784	9431,13.861386138613863,346050560	9449,0,0	9486,77.22772277227723,362958848
1676841994022	9374,145,528273408	9393,7.000000000000001,294858752	9412,104,406646784	9431,67,346050560	9449,0,0	9486,8,362958848
1676841995023	9374,144,528699392	9393,12,294858752	9412,88,406646784	9431,16,346243072	9449,0,0	9486,66,363126784
1676841996024	9374,145,528699392	9393,6,294858752	9412,112.00000000000001,406646784	9431,17,346243072	9449,0,0	9486,53,363126784
1676841997025	9374,146,528793600	9393,6,294858752	9412,99,406646784	9431,5,346243072	9449,0,0	9486,68,363126784
1676841998025	9374,149,534183936	9393,7.000000000000001,294903808	9412,110.00000000000001,406708224	9431,6,346243072	9449,0,0	9486,69,363126784
1676841999027	9374,146,534831104	9393,8,294940672	9412,112.00000000000001,406708224	9431,5,346243072	9449,0,0	9486,73,363192320
1676842000029	9374,143,534831104	9393,8,294940672	9412,80,406708224	9431,52,346243072	9449,0,0	9486,18,363192320
1676842001032	9374,137.6237623762376,534831104	9393,9.900990099009901,294940672	9412,97.02970297029702,406708224	9431,0.9900990099009901,346243072	9449,0,0	9486,70.29702970297029,363192320
1676842002033	9374,141,534831104	9393,6,294940672	9412,99,406708224	9431,6,346243072	9449,0,0	9486,67,363192320
1676842003035	9374,109.00000000000001,534831104	9393,4,295022592	9412,90,406884352	9431,7.000000000000001,346243072	9449,0,0	9486,0,0
1676842004040	9374,34,535072768	9393,8,295108608	9412,89,406884352	9431,60,346243072	9449,0,0	9486,0,0
1676842005042	9374,156.43564356435644,535162880	9393,7.920792079207921,295108608	9412,111.88118811881189,406884352	9431,81.1881188118812,346243072	9449,0,0	9486,0,0
1676842006045	9374,149,535162880	9393,5,295108608	9412,122,406884352	9431,119,346243072	9449,0,0	9486,0,0
1676842007048	9374,151,535162880	9393,7.000000000000001,295108608	9412,182,406986752	9431,94,346243072	9449,0,0	9486,0,0
1676842008050	9374,145.54455445544554,535162880	9393,7.920792079207921,295198720	9412,128.7128712871287,407068672	9431,104.95049504950495,346288128	9449,0,0	9486,0,0
1676842009053	9374,159,535162880	9393,18,295198720	9412,120,407068672	9431,83,346288128	9449,0,0	9486,0,0
1676842010054	9374,171,535384064	9393,6,295198720	9412,128,465326080	9431,87,346288128	9449,0,0	9486,0,0
1676842011056	9374,145,535502848	9393,5,295198720	9412,121,465326080	9431,104,346345472	9449,0,0	9486,0,0
